TITLE = "Grid Size = 51, Number of Blocks = 24"
VARIABLES = "Block Sensor Range" "Number of Agents" "Frames"
ZONE T = "Grid"
I = 24, J = 31, K = 1
10	1	27224.3
10	2	11155.8
10	3	6401.3
10	4	4911.2
10	5	4176.9
10	6	3680.5
10	7	3298.3
10	8	3183.4
10	9	2921.7
10	10	2730.0
10	11	2806.5
10	12	2429.0
10	13	0.0
10	14	0.0
10	15	0.0
10	16	0.0
10	17	0.0
10	18	0.0
10	19	0.0
10	20	0.0
10	21	0.0
10	22	0.0
10	23	0.0
10	24	0.0
		
12	1	23872.9
12	2	10796.1
12	3	7166.4
12	4	5404.6
12	5	4550.4
12	6	4203.5
12	7	3670.0
12	8	3400.1
12	9	2738.7
12	10	3094.6
12	11	2834.6
12	12	2523.6
12	13	0.0
12	14	0.0
12	15	0.0
12	16	0.0
12	17	0.0
12	18	0.0
12	19	0.0
12	20	0.0
12	21	0.0
12	22	0.0
12	23	0.0
12	24	0.0
		
14	1	23681.7
14	2	10882.6
14	3	7244.1
14	4	5257.1
14	5	4513.0
14	6	4159.1
14	7	3588.1
14	8	3129.0
14	9	3104.8
14	10	2689.2
14	11	2907.3
14	12	2523.6
14	13	0.0
14	14	0.0
14	15	0.0
14	16	0.0
14	17	0.0
14	18	0.0
14	19	0.0
14	20	0.0
14	21	0.0
14	22	0.0
14	23	0.0
14	24	0.0
		
16	1	20869.3
16	2	10091.1
16	3	6609.2
16	4	5363.4
16	5	4424.1
16	6	3749.1
16	7	3519.3
16	8	3328.1
16	9	2923.7
16	10	2810.3
16	11	2628.2
16	12	2689.4
16	13	0.0
16	14	0.0
16	15	0.0
16	16	0.0
16	17	0.0
16	18	0.0
16	19	0.0
16	20	0.0
16	21	0.0
16	22	0.0
16	23	0.0
16	24	0.0
		
18	1	18965.5
18	2	9915.4
18	3	6575.5
18	4	5055.0
18	5	4343.6
18	6	3717.1
18	7	3505.2
18	8	3187.4
18	9	3175.1
18	10	2836.7
18	11	2539.0
18	12	2620.8
18	13	0.0
18	14	0.0
18	15	0.0
18	16	0.0
18	17	0.0
18	18	0.0
18	19	0.0
18	20	0.0
18	21	0.0
18	22	0.0
18	23	0.0
18	24	0.0
		
20	1	17518.9
20	2	9243.8
20	3	6795.3
20	4	4882.5
20	5	4239.6
20	6	4010.6
20	7	3399.2
20	8	3109.7
20	9	3069.2
20	10	2683.2
20	11	2711.3
20	12	2376.5
20	13	0.0
20	14	0.0
20	15	0.0
20	16	0.0
20	17	0.0
20	18	0.0
20	19	0.0
20	20	0.0
20	21	0.0
20	22	0.0
20	23	0.0
20	24	0.0
		
22	1	18947.6
22	2	8573.8
22	3	5986.9
22	4	4930.3
